"newsletter","date","headline","body"
"Box of Amazing","2022-04-17 06:01:11+00:00","Could high-flying kites power your home?","Any kid who’s ever flown a kite has learned the lesson: Once you can get the kite off the ground and high into the air, you’re more likely to find a steady breeze to keep it aloft. A fledgling wind power industry is taking that lesson to heart."
"Box of Amazing","2022-04-17 06:01:11+00:00","Meta Begins Monetizing Its Metaverse","Magic butterfly wings that give you the power of floating across your favorite meditative VR world? Those can be had, at a price. Meta’s starting to unlock monetization in its open-world metaverse VR app, Horizon Worlds, beginning with items you’ll be able to buy in individual worlds. Also worth deeper diving into this piece about Zuckerberg’s vision."
"Box of Amazing","2022-04-17 06:01:11+00:00","How Chris Dixon’s Dive Down The Crypto Rabbit Hole Made Him The World’s Top Venture Capitalist","In 2013, serial entrepreneur turned venture capitalist Chris Dixon was searching for the next big thing. The 1980s had personal computers, the 1990s the Internet and the 2000s mobile phones. He found crypto."
"Box of Amazing","2022-04-17 06:01:11+00:00","The Metaverse Market Map: 90+ Companies Changing The Way We Socialize, Work, And More In A Virtual World","Tech CEOs like Mark Zuckerberg are obsessed with building the metaverse. Here are 90+ companies working to bring the concept to life. The metaverse refers to the idea of a shared, persistent virtual space, akin to a digital mirror of the real world — but without any of the constraints."
"Box of Amazing","2022-04-10 06:01:17+00:00","The Metaverse: Buying Virtual Land, NFTs, VR, Web3 & Preparing For the Next Big Thing!","Curious about the metaverse, but can’t quite wrap your head around it? Maybe you want to get a headstart, but don’t know where to begin? In this practical primer, you will learn why and how we should prepare for a new digital renaissance, and what it means in terms of job opportunities, investments, and new business models."
"Box of Amazing","2022-04-10 06:01:17+00:00","Why experts are terrified of a human-made pandemic — and what we can do to stop it","The next pandemic could be caused by a lab leak or bioterrorism. Here’s what the world can do to prepare."
"Box of Amazing","2022-04-10 06:01:17+00:00","Meta is reportedly making ‘Zuck Bucks’ - The Verge","Meta is working on a few finance projects, including a virtual currency employees have apparently taken to calling “Zuck Bucks.”"
"Box of Amazing","2022-04-10 06:01:17+00:00","The Myth of the Missing Cyberwar | Foreign Affairs","Russia’s hacking succeeded in Ukraine—and poses a threat elsewhere, too. Also, Tiktok doesn’t show the war in Ukraine to Russian Users."
"Box of Amazing","2022-04-10 06:01:17+00:00","The Noom paradox","Noom is a diet app in an anti-diet moment. Imagine that you could lose weight without going on a diet."
"Box of Amazing","2022-04-10 06:01:17+00:00","Inside the Bitcoin Bust That Took Down the Web’s Biggest Child Abuse Site","Welcome to Video’s customers thought their payments were untraceable. They couldn’t have been more wrong. The untold story of the case that shredded the myth of Bitcoin’s anonymity."
"Box of Amazing","2022-04-10 06:01:17+00:00","Can Computers Learn Common Sense? | The New Yorker","A.I. researchers are making progress on a long-term goal: giving their programs the kind of knowledge we take for granted."
"Box of Amazing","2022-04-10 06:01:17+00:00","MIT scans brain of hyperpolyglot Vaughn Smith, who speaks 24 languages - Washington Post","In a city where diplomats and embassies abound, where interpreters can command six-figure salaries, where language proficiency is résumé rocket fuel, Vaughn Smith was a savant with a secret."
"Box of Amazing","2022-04-10 06:01:17+00:00","Internet ‘algospeak’ is changing our language in real time, from ‘nip nops’ to ‘le dollar bean’","To avoid angering the almighty algorithm, creators on TikTok and other platforms are creating a new vocabulary."
"Box of Amazing","2022-04-10 06:01:17+00:00","How might neuroergonomics help us deal with mental overload? ","As tasks mount up, our brain’s ability to juggle goes down. Neuroergonomic tactics can relieve the cognitive burden"
"Box of Amazing","2022-04-10 06:01:17+00:00","Elon rules the roost","Good morning! Elon Musk is now on the board of Twitter and wants to make “significant improvements” with his newfound power. Does Elon just want an edit button (like all of us) or is he going all in on anarchy? We’ll soon find out."
"Box of Amazing","2022-04-10 06:01:17+00:00","How the Metaverse Could Change Work","It promises to bring new levels of social connectedness, mobility, and collaboration to a world of virtual work."
"Box of Amazing","2022-04-10 06:01:17+00:00","The Next Google","DuckDuckGo and Bing are not true alternatives – they’re just worse versions of Google. The next Google can’t just be an input box that spits out links. We need new thinking to create something much better than what came before."
"Box of Amazing","2022-04-10 06:01:17+00:00","‘Mind-blowing’: Ai-Da becomes first robot to paint like an artist","Brush clamped firmly in bionic hand, Ai-Da’s robotic arm moves slowly, dipping in to a paint palette then making slow, deliberate strokes across the paper in front of her."
"Box of Amazing","2022-04-10 06:01:17+00:00","Turning back the clock: Human skin cells de-aged by 30 years in trial","While findings are still in the early stages, they could revolutionise regenerative medicine, especially if it can be replicated in other cell types. Researchers have reversed ageing in human skin cells by 30 years, according to a new study."
"Box of Amazing","2022-04-10 06:01:17+00:00","Crypto and gaming collide in high-risk 'play-to-earn' economies","Jarindr Thitadilaka says he made as much as $2,000 a month last year from his collection of digital pets, which he would breed and send into battle to win cryptocurrencies."
"Box of Amazing","2022-04-03 06:01:16+00:00","The Factual - Unbiased News, Trending Topics - ","Unbiased news on trending topics. Daily."
"Box of Amazing","2022-04-03 06:01:16+00:00","The controversial quest to make a 'contagious' vaccine","A new technology aims to stop wildlife from spreading Ebola, rabies, and other viruses. It could prevent the next pandemic by stopping pathogens from jumping from animals to people."
"Box of Amazing","2022-04-03 06:01:16+00:00","Maybe you should do less 'work'","If you optimally fill your time at work doing ‘work’ work, then this means that you are likely:
Not developing other skills
Not building your network inside the company as well as you could
Probably working less efficiently than you could
Unable to respond to new or changing demands without working longer hours or stopping something else that you think you need to do."
"Box of Amazing","2022-04-03 06:01:16+00:00","How we lost our sensory connection with food – and how to restore it","To eat in the modern world is often to eat in a state of profound sensory disengagement. It shouldn’t have to be this way"
"Box of Amazing","2022-04-03 06:01:16+00:00","Want to See the Weirdest of Wikipedia? Look No Further.","On @depthsofwikipedia, Annie Rauwerda is compiling some of the crowdsourced site’s most bizarre pages."
"Box of Amazing","2022-04-03 06:01:16+00:00","Online shopping in the middle of the ocean","Astonishing alternate ecommerce world!"
"Box of Amazing","2022-04-03 06:01:16+00:00","What is Money, Anyway?","People spend their lives seeking money, and in some ways it seems so straightforward, and yet what humanity has defined as money has changed significantly over the centuries. This is the deep dive on money that you wanted someone to write for you!"
"Box of Amazing","2022-04-03 06:01:16+00:00","The promise and peril of the metaverse","The metaverse has the potential to radically transform the digital—and global—economy, but many questions remain. With the metaverse in its early stages, organizations and people have the opportunity to shape the metaverse responsibly."
"Box of Amazing","2022-04-03 06:01:16+00:00","The Bizarre Dyson Zone Pollution Mask Doubles as Headphones ","The air vacuum for the mouth looks crazy but could be what we need for the future. Not sure why they have headphones though!"
"Box of Amazing","2022-04-03 06:01:16+00:00","This Prepper Is Building a Post-Apocalyptic Internet","The internet is great, but the internet goes down. Disasters, government interference, and simple technical difficulties often fell the most powerful communication tool ever made. One man wants to change that and is building what he calls the “prepper version of the internet.“"
"Box of Amazing","2022-04-03 06:01:16+00:00","The new sober-ish","Tiny doses of magic mushrooms, LSD, and cannabis have hit wellness culture, while the stigma around the drugs recedes."
"Box of Amazing","2022-04-03 06:01:16+00:00","The map of our DNA is finally complete. Here's what that means for humanity.","The previously missing pieces to the human genome could offer insights into ageing, diseases such as cancer as well as human diversity and evolution."
